sid,year,id_s_fr,age,female
20890,2012,03000010105,58,1
20890,2013,03000010105,59,1
20890,2014,03000010105,60,1
20890,2015,03000010105,61,1
20960,2012,03000010362,66,0
20960,2013,03000010362,67,0
20960,2014,03000010362,68,0
20985,2012,03000010180,59,1
20985,2013,03000010180,60,1
20985,2014,03000010180,61,1
20985,2015,03000010180,62,1
21083,2012,03000010354,59,1
21083,2013,03000010354,60,1
21083,2014,03000010354,61,1
21083,2015,03000010354,62,1
21189,2012,03000010175,61,0
21189,2013,03000010175,62,0
21189,2014,03000010175,63,0
21239,2012,,63,1
21239,2013,,64,1
21239,2014,,65,1
21239,2015,03000010175,66,1
21249,2012,03000010193,64,0
21249,2013,03000010193,65,0
21249,2014,03000010193,67,0
21251,2012,03000010180,60,1
21251,2013,03000010180,61,1
21251,2014,03000010180,62,1
21272,2012,03000010226,75,1
21272,2013,03000010226,76,1
21272,2014,03000010226,77,1
21277,2012,03000010288,66,1
21277,2013,03000010288,67,1
21277,2014,03000010288,68,1
21277,2015,03000010288,69,1
21321,2012,03000010151,59,0
21321,2013,03000010151,60,0
21321,2014,03000010151,61,0
21341,2012,03000010123,60,1
21341,2013,03000010123,61,1
21341,2014,03000010123,62,1
21341,2015,03000010123,63,1
21372,2012,,59,1
21372,2013,,60,1
21372,2014,,61,1
21387,2012,03000010167,62,1
21387,2013,03000010167,64,1
21387,2014,03000010167,64,1
21399,2012,03000010151,59,0
21399,2013,03000010151,60,0
21399,2014,03000010151,61,0
21399,2015,03000010151,62,0
21423,2012,03000010380,57,1
21423,2013,03000010380,58,1
21423,2014,03000010380,59,1
21470,2012,03000010021,59,1
21470,2013,03000010021,60,1
21470,2015,03000010152,62,1
21614,2012,03000010316,59,0
21614,2013,03000010316,60,0
21614,2014,03000010316,61,0
21621,2012,03000010309,59,0
21621,2013,03000010309,60,0
21621,2014,03000010309,61,0
21639,2012,03000010175,62,1
21639,2013,03000010175,63,1
21639,2014,03000010175,64,1
21712,2012,03000010156,59,0
21712,2013,03000010156,60,0
21712,2014,03000010156,61,0
21728,2015,03000010134,63,1
21888,2012,03000010300,58,1
21888,2013,03000010300,59,1
21888,2014,03000010300,60,1
21889,2012,03000010107,58,1
21889,2013,03000010107,59,1
21889,2014,03000010107,60,1
21990,2012,03000010155,58,1
21990,2013,03000010155,59,1
21990,2014,03000010155,61,1
22000,2012,03000010290,59,1
22000,2013,03000010106,60,1
22000,2014,03000010106,61,1
22021,2012,03000010290,63,1
22021,2013,03000010161,64,1
22021,2014,,65,1
22202,2012,03000010151,59,1
22202,2013,03000010151,60,1
22202,2014,03000010151,61,1
22202,2015,03000010151,62,1
22274,2012,03000010289,58,1
22274,2013,03000010289,59,1
22274,2014,03000010289,60,1
22274,2015,03000010289,61,1
22303,2012,03000010193,59,1
22303,2013,03000010193,60,1
22303,2014,03000010193,61,1
22303,2015,03000010193,62,1
22411,2012,03000010260,58,1
22411,2013,03000010260,59,1
22411,2014,03000010260,60,1
22411,2015,03000010260,61,1
22484,2012,03000010364,63,0
22484,2013,03000010364,64,0
22484,2014,03000010364,65,0
22598,2012,03000010105,65,1
22598,2013,03000010105,66,1
22598,2014,03000010105,67,1
22627,2012,03000010106,58,1
22627,2013,03000010106,59,1
22627,2014,03000010106,60,1
22637,2012,03000010226,58,1
22637,2013,03000010226,59,1
22637,2014,03000010226,60,1
22637,2015,03000010226,61,1
22686,2012,03000010193,58,1
22686,2013,03000010290,59,1
22686,2014,03000010193,60,1
22694,2012,03000010161,59,1
22694,2013,03000010161,60,1
22694,2014,03000010161,61,1
22694,2015,03000010161,62,1
22696,2012,03000010161,60,0
22696,2013,03000010161,61,0
22696,2014,03000010161,62,0
22696,2015,03000010161,63,0
22790,2012,03000010360,58,1
22790,2013,03000010360,59,1
22790,2014,03000010360,60,1
22823,2012,03000010362,59,0
22823,2013,03000010362,60,0
22823,2014,03000010362,61,0
22874,2012,03000010180,58,1
22874,2013,03000010180,59,1
22874,2014,03000010180,60,1
22909,2012,03000010105,59,1
22909,2013,03000010105,60,1
22909,2014,03000010105,61,1
23016,2012,03000010021,61,1
23016,2013,,62,1
23016,2014,,63,1
23065,2012,03000010151,58,1
23065,2013,03000010151,59,1
23065,2014,03000010151,60,1
23065,2015,03000010151,61,1
23104,2014,,65,1
23104,2015,03000010857,66,1
23220,2012,03000010857,65,1
23220,2013,03000010857,65,1
23220,2014,03000010857,66,1
23233,2012,03000010180,59,1
23233,2013,03000010180,60,1
23233,2014,03000010180,61,1
23233,2015,03000010180,62,1
23288,2012,03000010175,58,1
23288,2013,03000010175,59,1
23288,2014,03000010175,60,1
23290,2012,,59,1
23290,2013,,60,1
23290,2014,,61,1
23411,2012,03000010288,66,1
23411,2013,03000010288,67,1
23411,2014,03000010288,68,1
23463,2012,03000010180,58,1
23463,2013,03000010180,59,1
23463,2014,03000010180,60,1
23463,2015,03000010180,61,1
23601,2012,03000010324,58,1
23601,2013,03000010324,59,1
23601,2014,03000010324,60,1
23601,2015,03000010324,61,1
23619,2012,,61,1
23619,2013,,62,1
23619,2014,,63,1
23657,2012,03000010857,66,1
23657,2013,03000010857,67,1
23657,2014,03000010857,68,1
23713,2012,,60,0
23713,2013,,61,0
23713,2014,,62,0
23713,2015,,63,0
23747,2012,03000010226,59,1
23747,2013,03000010226,60,1
23747,2014,03000010226,61,1
23747,2015,03000010226,62,1
23754,2012,03000010106,57,1
23754,2013,03000010106,58,1
23754,2014,03000010106,59,1
23754,2015,03000010106,60,1
23757,2012,03000010136,57,1
23757,2013,03000010136,58,1
23757,2014,03000010136,59,1
23812,2012,03000010151,56,1
23812,2013,03000010352,57,1
23812,2014,03000010352,58,1
23812,2015,03000010352,59,1
23821,2012,03000010857,57,1
23821,2013,03000010857,58,1
23821,2014,03000010857,59,1
23821,2015,03000010857,60,1
23828,2012,03000010380,60,0
23828,2013,03000010380,61,0
23828,2014,03000010380,62,0
23828,2015,03000010380,63,0
23850,2012,03000010123,62,1
23850,2013,03000010123,64,1
23850,2014,03000010123,64,1
23857,2012,03000010103,57,1
23857,2013,03000010103,57,1
23857,2014,03000010103,58,1
23914,2012,03000010124,57,0
23914,2013,03000010124,58,0
23914,2014,03000010124,59,0
23949,2012,03000010362,57,1
23949,2013,,58,1
23949,2014,,59,1
23970,2012,,57,1
23970,2013,,58,1
23970,2014,,59,1
24037,2012,03000010190,57,1
24037,2013,03000010190,58,1
24037,2014,03000010190,59,1
24037,2015,03000010190,60,1
24157,2012,03000010155,61,1
24157,2013,03000010155,62,1
24157,2014,03000010155,63,1
24207,2012,03000010106,60,1
24207,2013,03000010106,61,1
24207,2014,03000010106,62,1
24217,2012,03000010151,58,0
24217,2013,03000010151,59,0
24217,2014,03000010151,60,0
24217,2015,03000010151,61,0
24224,2012,03000010249,59,1
24224,2013,03000010249,60,1
24229,2012,03000010380,57,1
24229,2013,03000010380,58,1
24229,2014,03000010380,59,1
24249,2012,03000010362,61,1
24249,2013,03000010362,62,1
24249,2014,03000010362,64,1
24297,2012,,60,0
24297,2013,,60,0
24297,2014,,61,0
24408,2012,03000010193,61,1
24408,2013,03000010193,62,1
24408,2014,03000010193,63,1
24498,2012,03000010180,58,1
24498,2013,03000010180,59,1
24498,2014,03000010180,60,1
24498,2015,03000010180,61,1
24528,2012,03000010121,57,0
24528,2013,03000010121,58,0
24528,2014,03000010121,59,0
24608,2012,03000010179,61,0
24608,2013,03000010179,62,0
24608,2014,03000010179,63,0
24644,2012,03000010155,58,0
24644,2013,03000010155,59,0
24644,2014,03000010155,60,0
24650,2012,03000010155,57,1
24650,2013,03000010155,58,1
24650,2014,03000010155,59,1
24650,2015,03000010155,60,1
24849,2012,03000010136,56,1
24849,2013,03000010136,57.125,1
24849,2014,03000010136,58,1
24849,2015,03000010136,59,1
24865,2012,03000010103,58,1
24865,2013,03000010103,59,1
24865,2014,03000010103,60,1
24865,2015,03000010103,61,1
24940,2012,03000010291,57,1
24940,2013,03000010291,58,1
24940,2014,03000010291,59,1
24940,2015,03000010291,60,1
24974,2012,03000010104,56,1
24974,2013,03000010104,57,1
24974,2014,03000010104,58,1
24974,2015,03000010104,59,1
25000,2012,03000010135,59,1
25000,2013,03000010135,60,1
25000,2014,03000010135,61,1
25000,2015,03000010135,62,1
25026,2012,03000010288,61,0
25047,2012,03000010130,55,1
25047,2013,03000010130,56,1
25047,2014,03000010130,57,1
25047,2015,03000010130,58,1
25077,2012,03000010352,57,0
25077,2013,03000010352,58,0
25077,2014,03000010352,59,0
25077,2015,03000010352,60,0
25118,2012,03000010857,56,1
25118,2013,03000010857,57,1
25118,2014,03000010857,58,1
25118,2015,03000010857,59,1
25154,2012,03000010857,56,1
25154,2013,03000010857,57,1
25154,2014,03000010857,58,1
25177,2012,03000010256,56,1
25177,2013,03000010179,57,1
25177,2014,03000010179,58,1
25177,2015,03000010179,59,1
25179,2012,03000010021,55,1
25179,2013,,56,1
25179,2014,,57,1
25194,2012,03000010318,59,0
25194,2013,03000010179,60,0
25194,2014,03000010179,61,0
25194,2015,03000010179,62,0
25211,2012,,57,1
25230,2012,03000010107,56.044945,1
25230,2013,03000010165,58,1
25230,2014,03000010165,58,1
25272,2012,03000010288,55.377907,1
25272,2013,03000010288,57,1
25272,2014,03000010288,57,1
25304,2012,,56,1
25304,2013,,57,1
25304,2014,,58,1
25371,2012,03000010364,57,0
25371,2013,03000010364,58,0
25371,2014,03000010364,59,0
25373,2012,03000010180,57,1
25373,2013,03000010180,58,1
25373,2014,03000010180,59,1
25373,2015,03000010180,60,1
25456,2012,03000010107,57,1
25456,2013,03000010144,58,1
25456,2014,03000010144,59,1
25456,2015,03000010144,60,1
25527,2012,03000010324,58,1
25527,2013,03000010324,59,1
25527,2014,03000010324,60,1
25527,2015,03000010324,61,1
25541,2012,,57,1
25541,2013,,58,1
25541,2014,,59,1
25558,2012,03000010354,56,1
25558,2013,03000010354,57,1
25558,2014,03000010354,58,1
25558,2015,03000010354,59,1
25594,2012,03000010364,57,1
25594,2013,,58,1
25594,2014,,59,1
25594,2015,,60,1
25639,2012,03000010354,59,0
25639,2013,03000010354,60,0
25639,2014,03000010364,61,0
25639,2015,03000010354,62,0
25647,2012,03000010352,59,1
25647,2013,03000010352,60,1
25647,2014,03000010352,61,1
25681,2012,03000010132,56,1
25681,2013,03000010132,57,1
25681,2014,03000010132,58,1
25681,2015,03000010132,59,1
25712,2012,03000010226,56,1
25712,2013,03000010226,57,1
25712,2014,03000010226,58.037735,1
25810,2012,03000010180,56,1
25810,2013,03000010180,57,1
25810,2014,03000010180,58,1
25810,2015,03000010180,59,1
25862,2012,03000010180,56,1
25862,2013,03000010180,57,1
25862,2014,03000010180,58,1
25862,2015,03000010180,59,1
25918,2012,03000010309,57,1
25918,2013,03000010309,58,1
25918,2014,03000010309,59,1
25947,2012,03000010364,57,0
25947,2013,03000010364,58,0
25947,2014,03000010364,59,0
25947,2015,03000010364,60,0
25948,2012,03000010123,61,1
25948,2013,03000010123,62,1
25948,2014,03000010123,63,1
25973,2012,03000010190,59,1
25973,2013,03000010190,60,1
25973,2014,03000010190,61,1
25975,2012,03000010021,56,1
25975,2013,,57,1
25975,2014,,58,1
25975,2015,03000010190,59,1
25982,2012,03000010260,56,1
26021,2012,03000010132,56,1
26021,2013,03000010132,57,1
26021,2014,03000010132,58,1
26021,2015,03000010132,59,1
26103,2012,03000010324,57,1
26103,2013,03000010324,58,1
26103,2014,03000010324,59,1
26103,2015,03000010324,60,1
26156,2012,03000010354,61,1
26156,2013,03000010354,62,1
26156,2014,03000010354,63,1
26156,2015,03000010354,64,1
26164,2012,03000010175,57,1
26164,2013,03000010175,58,1
26164,2014,03000010175,59,1
26164,2015,03000010175,60,1
26172,2012,,56,0
26172,2013,,57,0
26172,2014,,58,0
26255,2012,03000010368,56,1
26255,2013,03000010368,57,1
26255,2014,03000010372,58.012047,1
26255,2015,03000010368,59.045803,1
26270,2012,,59,1
26270,2013,,60,1
26270,2014,,61,1
26270,2015,03000010140,62,1
26286,2012,03000010193,59,1
26286,2013,03000010291,60,1
26286,2014,03000010291,61,1
26286,2015,03000010121,62,1
26386,2012,03000010380,58,0
26386,2013,03000010380,59,0
26386,2014,03000010380,60,0
26386,2015,03000010380,61,0
26417,2012,03000010021,56,1
26417,2013,03000010021,57,1
26417,2014,03000010021,58,1
26417,2015,03000010021,59,1
26494,2012,03000010175,56,1
26494,2013,03000010175,57,1
26494,2014,03000010175,58,1
26494,2015,03000010175,59,1
26532,2012,03000010287,63,1
26532,2013,03000010287,63,1
26532,2014,03000010287,64,1
26557,2012,03000010360,56,1
26557,2013,03000010360,57,1
26585,2012,03000010151,60,1
26617,2012,,58,0
26617,2013,,59,0
26617,2014,,60,0
26617,2015,,61,0
26663,2012,03000010364,57,1
26663,2013,03000010364,58,1
26663,2014,03000010364,59,1
26663,2015,03000010364,60,1
26743,2012,,57,0
26743,2013,,58,0
26743,2014,,59,0
26916,2012,,56,0
26916,2013,,57,0
26916,2014,,58,0
26959,2012,03000010362,55,0
26959,2013,,56,0
26959,2014,,57,0
26968,2012,03000010160,55,1
26968,2013,03000010160,56,1
26968,2014,03000010160,57,1
26968,2015,03000010160,58,1
26970,2012,03000010318,55,1
26970,2013,03000010318,56,1
26970,2014,03000010318,57,1
26997,2012,03000010021,55,1
26997,2013,03000010021,57,1
26997,2014,03000010021,57,1
27002,2012,,60,1
27002,2013,,61,1
27002,2014,,62,1
27125,2012,03000010175,55,1
27125,2013,03000010161,56,1
27125,2014,03000010107,57,1
27125,2015,03000010119,58,1
27164,2013,03000010311,57,0
27166,2012,03000010358,56,0
27166,2013,03000010358,57,0
27166,2014,03000010358,58,0
27227,2012,03000010123,55,1
27227,2013,03000010123,56,1
27227,2014,03000010123,57,1
27227,2015,03000010123,58,1
27247,2012,03000010119,56,1
27247,2013,03000010119,57,1
27247,2014,03000010119,58,1
27247,2015,03000010119,59,1
27279,2012,03000010121,58,1
27279,2013,03000010121,59,1
27279,2014,03000010121,60,1
27279,2015,03000010121,61,1
27322,2012,03000010360,56,0
27322,2013,03000010360,57,0
27322,2014,03000010360,58,0
27356,2012,03000010362,58,1
