"","person_id","year","perf_a","perf_b","performance","perf_c","performance_c","status","avg_absences","absence","id_s_fr","age","female","department"
"12800",105898,2017,0.043882926,NA,1,0.043882925,1,NA,NA,NA,NA,NA,NA,NA
"12801",105935,2013,NA,NA,1,NA,NA,"",8.2700176,1,3000010256,29,1,1
"12802",105935,2014,-1.508007064,NA,1,-1.508007,1,"Active",8.6197815,1,3000010256,30,1,1
"12803",105935,2015,-0.619490168,NA,1,-0.61949015,1,"Active",1.8838004,1,3000010256,31,1,1
"12804",105935,2016,-0.791327886,NA,1,-0.79132789,1,"Active",0.53533649,1,NA,NA,NA,NA
"12805",105935,2017,-0.820167793,NA,1,-0.82016778,1,NA,NA,NA,NA,NA,NA,NA
"12806",105961,2013,-0.375207954,NA,1,-0.37520796,1,"Active",8.4680614,1,3000010152,28,0,1
"12807",105961,2014,-0.273616159,NA,1,0.71001762,1,"Active",8.5207644,1,3000010152,29,0,1
"12808",105961,2015,0.106482039,NA,1,0.93066424,1,"Active",1.8899988,1,3000010152,30.428572,0,1
"12809",105961,2016,0.086814599,NA,1,-0.11332618,1,"Active",0.32182887,1,NA,NA,NA,NA
"12810",105961,2017,-0.025379758,NA,1,0.028207311,1,NA,NA,NA,NA,NA,NA,NA
"12811",105965,2013,-0.522903836,NA,1,-0.5229038,1,"Active",8.6475916,1,3000010368,43,0,1
"12812",105965,2014,0.115744236,NA,1,0.11574424,1,"Active",8.5245533,1,3000010368,44,0,1
"12813",105965,2015,0.613580204,NA,1,0.61358023,1,"Active",1.1287357,1,3000010368,45,0,1
"12814",105965,2016,0.206656899,NA,1,0.17143095,1,"Active",0.43888336,1,NA,NA,NA,NA
"12815",105965,2017,NA,NA,1,0.31532872,1,NA,NA,NA,NA,NA,NA,NA
"12816",105980,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12817",105980,2014,NA,NA,1,NA,NA,"Active",8.8849392,1,NA,30,1,1
"12818",105980,2015,-1.308512058,NA,1,-1.0448643,1,NA,NA,NA,NA,NA,NA,NA
"12819",105980,2016,-0.092574741,NA,1,-0.092574738,1,NA,NA,NA,NA,NA,NA,NA
"12820",105980,2017,-1.084539956,NA,1,-1.08454,1,NA,NA,NA,NA,NA,NA,NA
"12821",105984,2013,0.566999911,NA,1,0.56699991,1,"Active",8.5775261,1,3000010249,39,1,1
"12822",105984,2014,-0.232252439,NA,1,-0.23225243,1,"Active",8.4942589,1,3000010249,40,1,1
"12823",105984,2015,-0.486144144,NA,1,-0.48614413,1,"Active",1.5525771,1,3000010249,41,1,1
"12824",105984,2016,0.500110163,NA,1,0.50011015,1,"Active",0.32773861,1,NA,NA,NA,NA
"12825",105984,2017,0.279002012,NA,1,0.27900201,1,NA,NA,NA,NA,NA,NA,NA
"12826",106031,2013,NA,NA,1,NA,NA,"",8.8574133,1,3000010225,29,0,1
"12827",106031,2014,-1.99274165,NA,1,-2.7762079,1,"Active",8.5544491,1,3000010225,30.173914,0,1
"12828",106031,2015,-2.722618919,NA,1,-2.1047478,1,NA,NA,NA,NA,NA,NA,NA
"12829",106031,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12830",106031,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12831",106041,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12832",106041,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12833",106041,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12834",106041,2016,NA,NA,1,NA,NA,"Active",0.18592663,1,NA,NA,NA,NA
"12835",106041,2017,-0.288445311,NA,1,-0.28844532,1,NA,NA,NA,NA,NA,NA,NA
"12836",106081,2013,0.44810381,NA,1,0.44810382,1,"Active",8.6035872,1,3000010368,28,1,1
"12837",106081,2014,0.735288335,NA,1,0.91161895,1,"Active",8.3199854,1,3000010368,29,1,1
"12838",106081,2015,1.357452851,NA,1,1.2274039,1,"Active",1.4326541,1,3000010368,30,1,1
"12839",106081,2016,1.760495657,NA,1,1.5685176,1,"Active",0.089669086,1,NA,NA,NA,NA
"12840",106081,2017,0.348192312,NA,1,1.482246,1,NA,NA,NA,NA,NA,NA,NA
"12841",106083,2013,NA,NA,1,NA,NA,"Active",7.9507651,1,3000010309,33,1,1
"12842",106083,2014,-0.624376017,NA,1,-0.66279763,1,"Active",8.4802999,1,3000010309,34,1,1
"12843",106083,2015,0.117239491,NA,1,-0.091613382,1,"Active",1.8363008,1,3000010309,35.070705,1,1
"12844",106083,2016,-0.510728688,NA,1,-0.68470472,1,"Active",0.32640392,1,NA,NA,NA,NA
