"","person_id","year.x","perf_a.x","perf_b.x","perf_c.x","status.x","avg_absences.x","id_s_fr.x","age.x","female.x","year.y","perf_a.y","perf_b.y","perf_c.y","status.y","avg_absences.y","id_s_fr.y","age.y","female.y","year.x.x","perf_a.x.x","perf_b.x.x","perf_c.x.x","status.x.x","avg_absences.x.x","id_s_fr.x.x","age.x.x","female.x.x","year.y.y","perf_a.y.y","perf_b.y.y","perf_c.y.y","status.y.y","avg_absences.y.y","id_s_fr.y.y","age.y.y","female.y.y","year.x.x.x","perf_a.x.x.x","perf_b.x.x.x","perf_c.x.x.x","status.x.x.x","avg_absences.x.x.x","id_s_fr.x.x.x","age.x.x.x","female.x.x.x","year.y.y.y","perf_a.y.y.y","perf_b.y.y.y","perf_c.y.y.y","status.y.y.y","avg_absences.y.y.y","id_s_fr.y.y.y","age.y.y.y","female.y.y.y","year","perf_a","perf_b","perf_c","status","avg_absences","id_s_fr","age","female"
"2008",86162,2012,NA,NA,NA,"Active",8.5585108,3000010249,32,1,2013,0.34079336,NA,0.34079337,"Inactive",8.7336826,3000010249,33,1,2014,NA,NA,NA,"Active",8.890131,3000010249,34,1,2015,0.877159864,NA,0.87715989,"Active",1.7817345,3000010249,35,1,2016,0.660794847,NA,0.66079485,"Active",0.92280066,NA,NA,NA,2017,2.756214932,NA,2.7562149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",86207,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,"Active",2.0368891,3000010175,44,1,2016,-0.588731182,NA,-0.49665728,"Active",0.43326902,NA,NA,NA,2017,-0.228176447,NA,0.025436781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",86211,2012,NA,NA,NA,"Active",8.3112268,3000010318,51,0,2013,-3.362400702,NA,-3.3624008,"Active",8.3850746,3000010360,52,0,2014,NA,-0.072338576,-0.072338574,"",8.5784922,3000010318,53,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",86249,2012,NA,NA,NA,"Active",8.4847698,3000010190,59,1,2013,-0.180784303,-0.624346913,-0.47679242,"Active",7.9770241,3000010190,60,1,2014,0.037593283,-0.850124317,-0.49632353,"Active",8.4693079,3000010190,61,1,2015,0.003288621,2.043382113,0.081537373,"Active",1.5599369,3000010190,62,1,2016,0.818265832,NA,1.3443493,"Active",0.5514701,NA,NA,NA,2017,0.065307554,NA,0.95512831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",86279,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,"Active",8.2847147,3000010282,33,1,2015,-0.249882616,NA,0.19491106,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",86295,2012,NA,NA,NA,"Active",8.6879148,3000010190,41,1,2013,-0.067398701,1.672742742,1.1588099,"Active",8.1067076,3000010190,42,1,2014,-0.178000777,2.077230749,0.76767457,"Active",8.9587317,3000010190,43,1,2015,0.693070336,1.685399403,0.54839021,"Active",1.5251471,3000010190,44,1,2016,1.020474117,1.321471795,0.72105348,"Active",0.74523437,NA,NA,NA,2017,1.452190958,NA,0.95219338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",86652,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,"Active",1.7387853,3000010161,35,1,2016,-1.637430278,NA,-1.6374303,"Active",0.22506697,NA,NA,NA,2017,0.511395432,NA,0.51139545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015",86707,2012,NA,NA,NA,"Active",8.7283401,NA,32,1,2013,0.054615945,NA,0.054615945,"",8.091465,NA,33,1,2014,NA,NA,NA,"",8.4681273,NA,34,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016",86765,2012,NA,NA,NA,"Active",8.3356447,3000010134,31,1,2013,0.37019062,NA,0.12909937,"Active",8.2942476,3000010134,32,1,2014,0.038257259,NA,0.55475885,"Active",8.801877,3000010134,33,1,2015,0.329594433,NA,0.48332915,"Active",2.1093969,3000010134,34,1,2016,0.400165182,NA,0.086583667,"Active",0.94012868,NA,NA,NA,2017,-0.505233387,NA,-0.50523341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017",86927,2012,NA,NA,NA,"Active",8.8466349,3000010161,32,1,2013,-0.77687823,0.607957535,0.049043369,"Active",8.4418945,3000010161,33,1,2014,-1.211162955,-0.215084612,-0.80166554,"Active",8.7191648,3000010161,34,1,2015,-0.348489734,1.274635074,-0.15005296,"Active",1.4890144,3000010161,35,1,2016,-0.618068838,0.098683042,-0.41318664,"Active",0.84635329,NA,NA,NA,2017,1.330672178,NA,-0.21644484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
