person_id,year,perf_a,perf_b
24217,2016,0.715668255,
24217,2017,,
24224,2013,0.967614446,0.369386069
24224,2014,0.003365815,-1.013632886
24224,2015,,
24224,2016,,
24224,2017,,
24229,2013,-0.248981485,
24229,2014,0.180716688,
24229,2015,-0.798564788,
24229,2016,,
24229,2017,,
24249,2013,0.202919749,
24249,2014,0.017363527,
24249,2015,,
24249,2016,,
24249,2017,,
24498,2013,1.541105871,
24498,2014,1.337599182,
24498,2015,,
24498,2016,,
24498,2017,,
24528,2013,0.717242251,
24528,2014,0.868813477,0.016085345
24528,2015,,
24528,2016,,
24528,2017,,
24644,2013,0.320147292,
24644,2014,,
24644,2015,,
24644,2016,,
24644,2017,,
24650,2013,1.045792276,0.591491767
24650,2014,,
24650,2015,0.802330393,1.2665969
24650,2016,0.56603185,-0.621167456
24650,2017,,
24849,2013,1.28393307,
24849,2014,0.044865707,
24849,2015,1.014023535,
24849,2016,0.796247189,
24849,2017,,
24865,2013,-0.005389495,
24865,2014,0.044698843,
24865,2015,0.613950416,
24865,2016,0.388511599,
24865,2017,-0.208510431,
24940,2013,0.050283329,
24940,2014,-0.303780485,
24940,2015,1.328630718,
24940,2016,-0.030905466,
24940,2017,0.649931555,
24974,2013,0.427063446,0.216139342
24974,2014,0.400200919,-0.02070765
24974,2015,1.349903266,
24974,2016,1.724524147,
24974,2017,1.461985213,
25000,2013,0.627811059,
25000,2014,0.502297131,
25000,2015,0.716844675,
25000,2016,1.557439836,
25000,2017,,
25026,2013,-1.787346724,
25026,2014,,
25026,2015,,
25026,2016,,
25026,2017,,
25047,2013,1.329838289,
25047,2014,0.977993094,-0.910617753
25047,2015,0.001611409,-0.525196163
25047,2016,0.200099685,-0.884728029
25047,2017,-0.056049103,
25118,2013,1.106153979,
25118,2014,0.976993053,
25118,2015,1.090317886,
25118,2016,0.765832014,
25118,2017,1.98465253,
25177,2013,0.593273306,0.58604414
25177,2014,1.045827403,
25177,2015,1.494405513,
25177,2016,0.833449863,
25177,2017,-0.632084793,
25194,2013,-1.344862367,0.23977042
25194,2014,-0.511832455,-2.244340187
25194,2015,-1.332335568,-1.026131064
25194,2016,-0.980024898,1.592034984
25194,2017,,
25230,2013,1.259565844,
25230,2014,,
25230,2015,,
25230,2016,,
25230,2017,,
25272,2013,-3.539266641,
25272,2014,,
25272,2015,,
25272,2016,,
25272,2017,,
25371,2013,0.19817709,
25371,2014,0.416685325,
25371,2015,0.777429134,
25371,2016,,
25371,2017,,
25373,2013,2.269064533,
25373,2014,0.704620262,
25373,2015,0.267473977,
25373,2016,1.674704423,
25373,2017,,
25456,2013,1.857378987,
25456,2014,1.368838893,
25456,2015,-0.257609738,
25456,2016,-0.820842349,
25456,2017,-0.911006246,
25518,2013,-1.209239738,
25518,2014,,
25518,2015,,
25518,2016,,
25518,2017,,
25527,2013,0.493651086,
25527,2014,0.045221477,
25527,2015,0.644760815,-0.680946519
25527,2016,0.415283426,-0.511743292
25527,2017,0.16080322,
25558,2013,0.317326142,
25558,2014,0.223449757,
25558,2015,1.077431908,
25558,2016,0.361948109,
25558,2017,,
25639,2013,1.591031752,
25639,2014,2.469747203,
25639,2015,1.366187177,
25639,2016,0.514779961,
25639,2017,1.518472641,
25647,2013,,
25647,2014,0.033578038,
25647,2015,,
25647,2016,,
25647,2017,,
25681,2013,1.620383131,-0.213954755
25681,2014,1.618253512,0.264274587
25681,2015,1.08402206,0.105736555
25681,2016,2.103702859,-0.779160448
25681,2017,0.367622682,
25712,2013,1.207230294,
25712,2014,1.131024082,
25712,2015,0.464031691,-0.935527841
25712,2016,,
25712,2017,,
25810,2013,1.394603156,
25810,2014,0.44287226,-0.521450428
25810,2015,-0.065534958,0.885172039
25810,2016,1.715850702,0.573055533
25810,2017,-0.519058324,
25862,2013,1.243823582,-0.384174399
25862,2014,0.826940889,-0.811701033
25862,2015,0.411325937,
25862,2016,0.711843007,
25862,2017,-0.136980172,
25918,2013,0.53136215,
25918,2014,,
25918,2015,,
25918,2016,,
25918,2017,,
25947,2013,0.558945013,
25947,2014,0.339606303,
25947,2015,-0.161143615,
25947,2016,-0.252435658,
25947,2017,0.140748083,
25948,2013,1.422923893,
25948,2014,0.627877898,-0.724207778
